Index,Lat_Start,Lon_Start
1675,41.39877,-71.86506
1680,41.41292,-71.85422
1685,41.41612,-71.85045
1690,41.41918,-71.8456
1695,41.42182,-71.83981
1700,41.42727,-71.82313
1705,41.43251,-71.80987
1710,41.43495,-71.80612
1715,41.44003,-71.79969
1720,41.44555,-71.79176
1725,41.44906,-71.7847
1730,41.45371,-71.77875
1735,41.46259,-71.76899
1740,41.464,-71.76745
1745,41.46623,-71.76454
1750,41.46769,-71.76243
1755,41.48039,-71.74381
1760,41.49048,-71.72323
1765,41.51077,-71.69324
1770,41.51641,-71.68971
1775,41.51708,-71.68929
1780,41.5368,-71.67918
1785,41.56069,-71.66613
1790,41.5674,-71.66243
1795,41.59366,-71.65941
1800,41.59841,-71.65876
1805,41.59917,-71.65819
1810,41.59958,-71.65709
1815,41.59999,-71.65536
1820,41.59985,-71.65431
1825,41.59796,-71.65152
1830,41.59567,-71.64755
1835,41.59338,-71.64855
1840,41.58905,-71.63339
1845,41.58898,-71.63043
1850,41.58727,-71.61974
1855,41.58562,-71.61784
1860,41.58025,-71.61337
1865,41.57905,-71.61014
1870,41.57931,-71.60087
1875,41.5796,-71.59115
1880,41.57997,-71.57058
1885,41.58061,-71.5596
1890,41.58023,-71.55306
1895,41.57791,-71.54604
1900,41.57855,-71.54287
1905,41.57778,-71.54023
1910,41.57676,-71.53334
1915,41.57707,-71.5304
1920,41.57592,-71.52657
1925,41.57675,-71.51247
1930,41.57796,-71.50943
1935,41.57924,-71.50424
1940,41.57928,-71.50185
1945,41.5789,-71.501
1950,41.57693,-71.49852
1955,41.5716,-71.49329
1960,41.5688,-71.49162
1965,41.55575,-71.48825
1970,41.55,-71.48419
1975,41.54137,-71.47068
1980,41.53989,-71.46883
1985,41.5371,-71.46883
1990,41.52964,-71.46594
1995,41.52839,-71.46595
2000,41.52794,-71.46673
2005,41.52824,-71.46801
2010,41.52907,-71.46844
2015,41.52977,-71.46734
2020,41.53099,-71.45554
2025,41.52682,-71.43215
2030,41.52907,-71.42396
2035,41.53014,-71.41838
2040,41.52581,-71.388
2045,41.52615,-71.37218
2050,41.52584,-71.3707
2055,41.52426,-71.36828
2060,41.52028,-71.36675
2065,41.51768,-71.36663
2070,41.51191,-71.36693
2075,41.509,-71.365
2080,41.50802,-71.36222
2085,41.50664,-71.356
2090,41.49952,-71.3245
2095,41.49982,-71.32054
2100,41.5005,-71.31846
2105,41.50024,-71.31773
2110,41.49961,-71.31728
2115,41.49959,-71.3171
2120,41.49443,-71.31744
2125,41.49209,-71.3174
2130,41.48845,-71.3167
2135,41.48778,-71.31575
2140,41.48741,-71.31542
2145,41.48475,-71.31509
2150,41.48437,-71.31382
2155,41.47729,-71.30801
2160,41.47018,-71.29844
2165,41.47312,-71.30025
2170,41.47702,-71.30191
2175,41.48453,-71.29964
2180,41.48634,-71.29561
2185,41.48869,-71.29155
2190,41.4898,-71.28706
2195,41.48981,-71.28492
2200,41.49014,-71.28421
2205,41.49116,-71.28394
2210,41.49547,-71.28527
2215,41.49669,-71.2863
2220,41.5066,-71.28921
2225,41.50956,-71.28972
2230,41.51368,-71.291
2235,41.51915,-71.29342
2240,41.52282,-71.29534
2245,41.52355,-71.29657
2250,41.52834,-71.29574
2255,41.53125,-71.29377
2260,41.53577,-71.29234
2265,41.54746,-71.29206
2270,41.55372,-71.29099
2275,41.56096,-71.28671
2280,41.56507,-71.28414
2285,41.5667,-71.28231
2290,41.57045,-71.2768
2295,41.57498,-71.27213
2300,41.57979,-71.27022
2305,41.58279,-71.26961
2310,41.58857,-71.26857
2315,41.59106,-71.26705
2320,41.59763,-71.2621
2325,41.59962,-71.26033
2330,41.60169,-71.25698
2335,41.61944,-71.25168
2340,41.62249,-71.24998
2345,41.62836,-71.24408
2350,41.63345,-71.23802
2355,41.63782,-71.22564
2360,41.63812,-71.21059
2365,41.64078,-71.2046
2370,41.64182,-71.20191
2375,41.64235,-71.19367
2380,41.6413,-71.18358
2385,41.64251,-71.18068
2390,41.65735,-71.16845
2395,41.66859,-71.15891
2400,41.67037,-71.15576
2405,41.67502,-71.14199
2410,41.67734,-71.13979
2415,41.68351,-71.13804
